+-----+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+
| t   | TID-gtcicm23g      | TID-gtcickbn4      | TID-gtcicju90      | TID-gtcicjsfg      | TID-gtcicjqlw      | TID-gtcicjor8      | TID-gtcicjnm4      |
| 3.5 | Start 733f1c6dc61d |                    | Start f628bd970bb4 |                    |                    | Start 8cdc803e8378 | Completed 103.06ms |
|     |                    |                    |                    |                    |                    |                    | Start 2e92c2b43d38 |
| 3.6 | Completed 107.18ms |                    | Completed 100.66ms |                    |                    |                    | Completed 101.72ms |
|     |                    |                    | Start 747c480a40ea |                    |                    |                    | Start 04618bf14ad7 |
| 3.7 | Start 3067e5913f37 |                    | Completed 107.00ms |                    |                    | Completed 166.41ms | Completed 100.28ms |
|     |                    |                    |                    |                    |                    |                    | Start ec6b0a995dd1 |
| 3.8 | Completed 108.00ms |                    |                    |                    |                    |                    | Completed 104.90ms |
|     | Start 4ff833b9fb85 |                    |                    |                    |                    |                    |                    |
| 3.9 | Completed 109.67ms |                    |                    |                    | Start 18acabaa53b4 | Start 3b4c044b15cd | Start 38babcd561dc |
|     | Start b1671dc9e3fd |                    |                    |                    | Failed 9.91ms      |                    |                    |
|     | Failed 13.98ms     |                    |                    |                    |                    |                    |                    |
| 4.0 |                    | Start 4dc7a6cf9d31 | Start c54e4a8874ae |                    | Start 7e9b178fd1f1 |                    | Completed 104.83ms |
|     |                    |                    |                    |                    |                    |                    | Start 3ec4576c2679 |
| 4.1 |                    | Completed 104.66ms |                    |                    | Completed 103.83ms |                    | Completed 102.08ms |
| 4.2 |                    |                    | Completed 107.08ms |                    |                    | Completed 270.16ms |                    |
|     |                    |                    |                    |                    |                    | Start eb7e6d231949 |                    |
| 4.3 |                    | Start c98480c008c4 | Start 65fbd1afd278 |                    | Start ef94208e1de5 | Completed 102.28ms | Start 84c65cbcaba9 |
| 4.4 |                    | Completed 101.15ms | Completed 102.84ms |                    | Completed 103.71ms |                    | Completed 105.54ms |
|     |                    |                    |                    |                    | Start 1352e0584304 |                    | Start 83b1860daf09 |
| 4.5 |                    |                    |                    |                    |                    |                    | Failed 31.43ms     |
|     |                    |                    |                    |                    |                    |                    | Start 4c79212bad57 |
| 4.6 | Start e5e0ee62ce2b |                    | Start cfc5dfa972b7 |                    | Completed 129.44ms |                    |                    |
|     |                    |                    |                    |                    | Start 7fbdd3139bd2 |                    |                    |
| 4.7 | Completed 109.63ms |                    | Completed 113.56ms |                    |                    |                    |                    |
| 4.8 |                    |                    |                    |                    |                    |                    | Completed 220.53ms |
| 4.9 |                    |                    |                    |                    |                    |                    |                    |
| 5.0 |                    |                    |                    |                    | Completed 392.59ms |                    |                    |
+-----+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+
